face_id,node_ids,adjacent_element_id,adjacent_soil_id,adjacent_material_id,boundary_type
2680,5625 5626 6026 6025,4939,8,mat_soil_008,y_min
2681,5626 5627 6027 6026,4940,8,mat_soil_008,y_min
2682,5627 5628 6028 6027,4941,8,mat_soil_008,y_min
2683,5628 5629 6029 6028,4942,8,mat_soil_008,y_min
2684,5629 5630 6030 6029,4943,8,mat_soil_008,y_min
2685,5630 5631 6031 6030,4944,8,mat_soil_008,y_min
2686,5631 5632 6032 6031,4945,8,mat_soil_008,y_min
2687,5632 5633 6033 6032,4946,8,mat_soil_008,y_min
2688,5633 5634 6034 6033,4947,8,mat_soil_008,y_min
2689,5634 5635 6035 6034,4948,8,mat_soil_008,y_min
2690,5635 5636 6036 6035,4949,8,mat_soil_008,y_min
2691,5636 5637 6037 6036,4950,8,mat_soil_008,y_min
2692,5637 5638 6038 6037,4951,8,mat_soil_008,y_min
2693,5638 5639 6039 6038,4952,8,mat_soil_008,y_min
2694,5639 5679 6079 6039,4952,8,mat_soil_008,x_max
2695,5640 6040 6080 5680,4953,8,mat_soil_008,x_min
2696,5679 5719 6119 6079,4991,8,mat_soil_008,x_max
2697,5680 6080 6120 5720,4992,8,mat_soil_008,x_min
2698,5719 5759 6159 6119,5030,8,mat_soil_008,x_max
2699,5720 6120 6160 5760,5031,8,mat_soil_008,x_min
2700,5759 5799 6199 6159,5069,8,mat_soil_008,x_max
2701,5760 6160 6200 5800,5070,8,mat_soil_008,x_min
2702,5799 5839 6239 6199,5108,8,mat_soil_008,x_max
2703,5800 6200 6240 5840,5109,8,mat_soil_008,x_min
2704,5839 5879 6279 6239,5147,8,mat_soil_008,x_max
2705,5840 6240 6280 5880,5148,8,mat_soil_008,x_min
2706,5879 5919 6319 6279,5186,8,mat_soil_008,x_max
2707,5880 6280 6320 5920,5187,8,mat_soil_008,x_min
2708,5919 5959 6359 6319,5225,8,mat_soil_008,x_max
2709,5960 6360 6361 5961,5226,8,mat_soil_008,y_max
2710,5920 6320 6360 5960,5226,8,mat_soil_008,x_min
2711,5961 6361 6362 5962,5227,8,mat_soil_008,y_max
2712,5962 6362 6363 5963,5228,8,mat_soil_008,y_max
2713,5963 6363 6364 5964,5229,8,mat_soil_008,y_max
2714,5964 6364 6365 5965,5230,8,mat_soil_008,y_max
2715,5965 6365 6366 5966,5231,8,mat_soil_008,y_max
2716,5966 6366 6367 5967,5232,8,mat_soil_008,y_max
2717,5967 6367 6368 5968,5233,8,mat_soil_008,y_max
2718,5968 6368 6369 5969,5234,8,mat_soil_008,y_max
2719,5969 6369 6370 5970,5235,8,mat_soil_008,y_max
2720,5970 6370 6371 5971,5236,8,mat_soil_008,y_max
2721,5971 6371 6372 5972,5237,8,mat_soil_008,y_max
2722,5972 6372 6373 5973,5238,8,mat_soil_008,y_max
2723,5973 6373 6374 5974,5239,8,mat_soil_008,y_max
2724,5974 6374 6375 5975,5240,8,mat_soil_008,y_max
2725,5975 6375 6376 5976,5241,8,mat_soil_008,y_max
2726,5976 6376 6377 5977,5242,8,mat_soil_008,y_max
2727,5977 6377 6378 5978,5243,8,mat_soil_008,y_max
2728,5978 6378 6379 5979,5244,8,mat_soil_008,y_max
2729,5979 6379 6380 5980,5245,8,mat_soil_008,y_max
2730,5980 6380 6381 5981,5246,8,mat_soil_008,y_max
2731,5981 6381 6382 5982,5247,8,mat_soil_008,y_max
2732,5982 6382 6383 5983,5248,8,mat_soil_008,y_max
2733,5983 6383 6384 5984,5249,8,mat_soil_008,y_max
2734,5984 6384 6385 5985,5250,8,mat_soil_008,y_max
2735,5985 6385 6386 5986,5251,8,mat_soil_008,y_max
2736,5986 6386 6387 5987,5252,8,mat_soil_008,y_max
2737,5987 6387 6388 5988,5253,8,mat_soil_008,y_max
2738,5988 6388 6389 5989,5254,8,mat_soil_008,y_max
2739,5989 6389 6390 5990,5255,8,mat_soil_008,y_max
2740,5990 6390 6391 5991,5256,8,mat_soil_008,y_max
2741,5991 6391 6392 5992,5257,8,mat_soil_008,y_max
2742,5992 6392 6393 5993,5258,8,mat_soil_008,y_max
2743,5993 6393 6394 5994,5259,8,mat_soil_008,y_max
2744,5994 6394 6395 5995,5260,8,mat_soil_008,y_max
2745,5995 6395 6396 5996,5261,8,mat_soil_008,y_max
2746,5996 6396 6397 5997,5262,8,mat_soil_008,y_max
2747,5997 6397 6398 5998,5263,8,mat_soil_008,y_max
2748,5998 6398 6399 5999,5264,8,mat_soil_008,y_max
2749,5959 5999 6399 6359,5264,8,mat_soil_008,x_max
2750,6000 6001 6401 6400,5265,8,mat_soil_008,y_min
2751,6000 6400 6440 6040,5265,8,mat_soil_008,x_min
2752,6001 6002 6402 6401,5266,8,mat_soil_008,y_min
2753,6002 6003 6403 6402,5267,8,mat_soil_008,y_min
2754,6003 6004 6404 6403,5268,8,mat_soil_008,y_min
2755,6004 6005 6405 6404,5269,8,mat_soil_008,y_min
2756,6005 6006 6406 6405,5270,8,mat_soil_008,y_min
