node_id,x,y,z
37,147.07736842105265,-0.9745297812499999,-69.54013157894738
38,150.57921052631582,-0.9745297812499999,-69.54013157894738
39,153.5807894736842,-0.9745297812499999,-69.54013157894738
40,-1.000526315789474,2.92358934375,-69.54013157894738
41,3.0015789473684213,2.92358934375,-69.54013157894738
42,7.003684210526316,2.92358934375,-69.54013157894738
43,11.00578947368421,2.92358934375,-69.54013157894738
44,15.007894736842104,2.92358934375,-69.54013157894738
45,19.009999999999998,2.92358934375,-69.54013157894738
46,23.012105263157896,2.92358934375,-69.54013157894738
47,27.014210526315793,2.92358934375,-69.54013157894738
48,31.016315789473687,2.92358934375,-69.54013157894738
49,35.01842105263158,2.92358934375,-69.54013157894738
50,39.020526315789475,2.92358934375,-69.54013157894738
51,43.02263157894737,2.92358934375,-69.54013157894738
52,47.02473684210527,2.92358934375,-69.54013157894738
53,51.02684210526316,2.92358934375,-69.54013157894738
54,55.02894736842106,2.92358934375,-69.54013157894738
55,59.031052631578945,2.92358934375,-69.54013157894738
56,63.033157894736846,2.92358934375,-69.54013157894738
57,67.03526315789475,2.92358934375,-69.54013157894738
58,71.03736842105263,2.92358934375,-69.54013157894738
59,75.03947368421052,2.92358934375,-69.54013157894738
60,79.04157894736842,2.92358934375,-69.54013157894738
61,83.04368421052632,2.92358934375,-69.54013157894738
62,87.04578947368421,2.92358934375,-69.54013157894738
63,91.04789473684211,2.92358934375,-69.54013157894738
64,95.05000000000001,2.92358934375,-69.54013157894738
65,99.0521052631579,2.92358934375,-69.54013157894738
66,103.05421052631579,2.92358934375,-69.54013157894738
67,107.05631578947369,2.92358934375,-69.54013157894738
68,111.05842105263159,2.92358934375,-69.54013157894738
69,115.06052631578947,2.92358934375,-69.54013157894738
70,119.06263157894736,2.92358934375,-69.54013157894738
71,123.06473684210528,2.92358934375,-69.54013157894738
72,127.06684210526316,2.92358934375,-69.54013157894738
73,131.06894736842105,2.92358934375,-69.54013157894738
74,135.07105263157894,2.92358934375,-69.54013157894738
75,139.07315789473682,2.92358934375,-69.54013157894738
76,143.07526315789474,2.92358934375,-69.54013157894738
77,147.07736842105265,2.92358934375,-69.54013157894738
78,150.57921052631582,2.92358934375,-69.54013157894738
79,153.5807894736842,2.92358934375,-69.54013157894738
80,-1.000526315789474,6.82170846875,-69.54013157894738
81,3.0015789473684213,6.82170846875,-69.54013157894738
82,7.003684210526316,6.82170846875,-69.54013157894738
83,11.00578947368421,6.82170846875,-69.54013157894738
84,15.007894736842104,6.82170846875,-69.54013157894738
85,19.009999999999998,6.82170846875,-69.54013157894738
86,23.012105263157896,6.82170846875,-69.54013157894738
87,27.014210526315793,6.82170846875,-69.54013157894738
88,31.016315789473687,6.82170846875,-69.54013157894738
89,35.01842105263158,6.82170846875,-69.54013157894738
90,39.020526315789475,6.82170846875,-69.54013157894738
91,43.02263157894737,6.82170846875,-69.54013157894738
92,47.02473684210527,6.82170846875,-69.54013157894738
93,51.02684210526316,6.82170846875,-69.54013157894738
94,55.02894736842106,6.82170846875,-69.54013157894738
95,59.031052631578945,6.82170846875,-69.54013157894738
96,63.033157894736846,6.82170846875,-69.54013157894738
97,67.03526315789475,6.82170846875,-69.54013157894738
98,71.03736842105263,6.82170846875,-69.54013157894738
99,75.03947368421052,6.82170846875,-69.54013157894738
100,79.04157894736842,6.82170846875,-69.54013157894738
101,83.04368421052632,6.82170846875,-69.54013157894738
102,87.04578947368421,6.82170846875,-69.54013157894738
103,91.04789473684211,6.82170846875,-69.54013157894738
104,95.05000000000001,6.82170846875,-69.54013157894738
105,99.0521052631579,6.82170846875,-69.54013157894738
106,103.05421052631579,6.82170846875,-69.54013157894738
107,107.05631578947369,6.82170846875,-69.54013157894738
108,111.05842105263159,6.82170846875,-69.54013157894738
109,115.06052631578947,6.82170846875,-69.54013157894738
110,119.06263157894736,6.82170846875,-69.54013157894738
111,123.06473684210528,6.82170846875,-69.54013157894738
112,127.06684210526316,6.82170846875,-69.54013157894738
113,131.06894736842105,6.82170846875,-69.54013157894738
114,135.07105263157894,6.82170846875,-69.54013157894738
115,139.07315789473682,6.82170846875,-69.54013157894738
116,143.07526315789474,6.82170846875,-69.54013157894738
117,147.07736842105265,6.82170846875,-69.54013157894738
118,150.57921052631582,6.82170846875,-69.54013157894738
119,153.5807894736842,6.82170846875,-69.54013157894738
120,-1.000526315789474,10.71982759375,-69.54013157894738
121,3.0015789473684213,10.71982759375,-69.54013157894738
122,7.003684210526316,10.71982759375,-69.54013157894738
123,11.00578947368421,10.71982759375,-69.54013157894738
124,15.007894736842104,10.71982759375,-69.54013157894738
125,19.009999999999998,10.71982759375,-69.54013157894738
126,23.012105263157896,10.71982759375,-69.54013157894738
127,27.014210526315793,10.71982759375,-69.54013157894738
128,31.016315789473687,10.71982759375,-69.54013157894738
129,35.01842105263158,10.71982759375,-69.54013157894738
130,39.020526315789475,10.71982759375,-69.54013157894738
131,43.02263157894737,10.71982759375,-69.54013157894738
132,47.02473684210527,10.71982759375,-69.54013157894738
133,51.02684210526316,10.71982759375,-69.54013157894738
134,55.02894736842106,10.71982759375,-69.54013157894738
135,59.031052631578945,10.71982759375,-69.54013157894738
136,63.033157894736846,10.71982759375,-69.54013157894738
137,67.03526315789475,10.71982759375,-69.54013157894738
138,71.03736842105263,10.71982759375,-69.54013157894738
139,75.03947368421052,10.71982759375,-69.54013157894738
140,79.04157894736842,10.71982759375,-69.54013157894738
141,83.04368421052632,10.71982759375,-69.54013157894738
142,87.04578947368421,10.71982759375,-69.54013157894738
143,91.04789473684211,10.71982759375,-69.54013157894738
144,95.05000000000001,10.71982759375,-69.54013157894738
