face_id,node_ids,left_element_id,right_element_id,left_soil_id,right_soil_id,left_material_id,right_material_id
3163,7474 7475 7515 7514,6235,6586,8,6,mat_soil_008,mat_soil_006
3164,7475 7476 7516 7515,6236,6587,8,6,mat_soil_008,mat_soil_006
3165,7476 7477 7517 7516,6237,6588,8,6,mat_soil_008,mat_soil_006
3166,7477 7478 7518 7517,6238,6589,8,6,mat_soil_008,mat_soil_006
3167,7478 7479 7519 7518,6239,6590,8,6,mat_soil_008,mat_soil_006
3169,7480 7481 7521 7520,6240,6591,8,16,mat_soil_008,mat_soil_016
3171,7481 7482 7522 7521,6241,6592,8,6,mat_soil_008,mat_soil_006
3172,7491 7492 7532 7531,6251,6602,8,6,mat_soil_008,mat_soil_006
3173,7492 7493 7533 7532,6252,6603,8,6,mat_soil_008,mat_soil_006
3174,7493 7494 7534 7533,6253,6604,8,6,mat_soil_008,mat_soil_006
3175,7494 7495 7535 7534,6254,6605,8,6,mat_soil_008,mat_soil_006
3176,7499 7500 7540 7539,6259,6610,8,6,mat_soil_008,mat_soil_006
3177,7500 7501 7541 7540,6260,6611,8,6,mat_soil_008,mat_soil_006
3178,7501 7502 7542 7541,6261,6612,8,6,mat_soil_008,mat_soil_006
3179,7502 7503 7543 7542,6262,6613,8,6,mat_soil_008,mat_soil_006
3180,7503 7504 7544 7543,6263,6614,8,6,mat_soil_008,mat_soil_006
3181,7508 7509 7549 7548,6268,6619,8,6,mat_soil_008,mat_soil_006
3182,7509 7510 7550 7549,6269,6620,8,6,mat_soil_008,mat_soil_006
3183,7510 7511 7551 7550,6270,6621,8,6,mat_soil_008,mat_soil_006
3184,7511 7512 7552 7551,6271,6622,8,6,mat_soil_008,mat_soil_006
3185,7512 7513 7553 7552,6272,6623,8,6,mat_soil_008,mat_soil_006
3186,7513 7514 7554 7553,6273,6624,8,6,mat_soil_008,mat_soil_006
3187,7514 7515 7555 7554,6274,6625,8,6,mat_soil_008,mat_soil_006
3188,7515 7516 7556 7555,6275,6626,8,6,mat_soil_008,mat_soil_006
3189,7516 7517 7557 7556,6276,6627,8,6,mat_soil_008,mat_soil_006
3190,7517 7518 7558 7557,6277,6628,8,6,mat_soil_008,mat_soil_006
3191,7518 7519 7559 7558,6278,6629,8,6,mat_soil_008,mat_soil_006
3193,7520 7521 7561 7560,6279,6630,8,6,mat_soil_008,mat_soil_006
3207,7532 7533 7573 7572,6291,6642,8,6,mat_soil_008,mat_soil_006
3209,7533 7534 7574 7573,6292,6643,8,6,mat_soil_008,mat_soil_006
3216,7539 7540 7580 7579,6298,6649,8,6,mat_soil_008,mat_soil_006
3218,7540 7541 7581 7580,6299,6650,8,6,mat_soil_008,mat_soil_006
3220,7541 7542 7582 7581,6300,6651,8,6,mat_soil_008,mat_soil_006
3222,7542 7543 7583 7582,6301,6652,8,6,mat_soil_008,mat_soil_006
3224,7543 7544 7584 7583,6302,6653,8,6,mat_soil_008,mat_soil_006
3230,7548 7549 7589 7588,6307,6658,8,6,mat_soil_008,mat_soil_006
3232,7549 7550 7590 7589,6308,6659,8,6,mat_soil_008,mat_soil_006
3234,7550 7551 7591 7590,6309,6660,8,6,mat_soil_008,mat_soil_006
3236,7551 7552 7592 7591,6310,6661,8,6,mat_soil_008,mat_soil_006
3238,7552 7553 7593 7592,6311,6662,8,6,mat_soil_008,mat_soil_006
3240,7553 7554 7594 7593,6312,6663,8,6,mat_soil_008,mat_soil_006
3242,7554 7555 7595 7594,6313,6664,8,6,mat_soil_008,mat_soil_006
3244,7555 7556 7596 7595,6314,6665,8,6,mat_soil_008,mat_soil_006
3246,7556 7557 7597 7596,6315,6666,8,6,mat_soil_008,mat_soil_006
3248,7557 7558 7598 7597,6316,6667,8,6,mat_soil_008,mat_soil_006
3250,7558 7559 7599 7598,6317,6668,8,6,mat_soil_008,mat_soil_006
3264,7210 7250 7650 7610,6327,6328,6,8,mat_soil_006,mat_soil_008
3265,7610 7611 7651 7650,6328,6679,8,6,mat_soil_008,mat_soil_006
3267,7611 7612 7652 7651,6329,6680,8,6,mat_soil_008,mat_soil_006
3269,7612 7613 7653 7652,6330,6681,8,6,mat_soil_008,mat_soil_006
3271,7613 7614 7654 7653,6331,6682,8,6,mat_soil_008,mat_soil_006
3273,7614 7615 7655 7654,6332,6683,8,6,mat_soil_008,mat_soil_006
3275,7215 7255 7655 7615,6332,6333,8,6,mat_soil_008,mat_soil_006
3278,7217 7257 7657 7617,6334,6335,6,8,mat_soil_006,mat_soil_008
3279,7617 7618 7658 7657,6335,6686,8,6,mat_soil_008,mat_soil_006
3281,7257 7657 7658 7258,6335,6374,8,6,mat_soil_008,mat_soil_006
3282,7618 7619 7659 7658,6336,6687,8,6,mat_soil_008,mat_soil_006
3284,7619 7620 7660 7659,6337,6688,8,6,mat_soil_008,mat_soil_006
3289,7623 7624 7664 7663,6341,6692,8,6,mat_soil_008,mat_soil_006
3291,7624 7625 7665 7664,6342,6693,8,6,mat_soil_008,mat_soil_006
3293,7225 7265 7665 7625,6342,6343,8,6,mat_soil_008,mat_soil_006
3295,7265 7665 7666 7266,6343,6382,6,8,mat_soil_006,mat_soil_008
3305,7235 7275 7675 7635,6352,6353,6,8,mat_soil_006,mat_soil_008
3306,7635 7636 7676 7675,6353,6704,8,6,mat_soil_008,mat_soil_006
